Map Projection,Map Projection,Map,Map Projection Zone,Information,Remarks,Revision,Coordinate,Projection,Projection,Proj. Param,Proj. Param,Prime,Longitude,Latitude,Scale, False, False,Latitude of,Latitude of,Latitude of False Origin,Longitude of False Origin,Easting at,Northing at,Latitude of,Longitude of,Easting at,Northing at,Azimuth of Initial Line,Scale Factor,,Proj Zone,Zone,Old Map
California CS83 zone 6,California zone 6,10436,United States - California - counties south of 34deg North.,NOAA manual NOS NGS 5,,02-Jun-95,Lambert Conic Conformal (2SP),9001,metre,9107,DMS,Greenwich,116deg 15min  0.000sec W,,,,,33deg 53min  0.000sec N,32deg 47min  0.000sec N,32deg 10min  0.000sec N,116deg 15min  0.000sec W,2000000,500000,,,,,,,,22,17,P0171
Colorado CS27 North zone,Colorado North,10501,United States - Colorado - counties north of 39d 50m North.,USGS Professional Paper #1395,,02-Jun-95,Lambert Conic Conformal (2SP),9003,U.S. Survey Foot,9107,DMS,Greenwich,105deg 30min  0.000sec W,,,,,39deg 43min  0.000sec N,40deg 47min  0.000sec N,39deg 20min  0.000sec N,105deg 30min  0.000sec W,2000000,0,,,,,,,,24,14,P0172
Colorado CS27 Central zone,Colorado Central,10502,United States - Colorado - counties between 39d 50m & 38d 30m North.,USGS Professional Paper #1395,,02-Jun-95,Lambert Conic Conformal (2SP),9003,U.S. Survey Foot,9107,DMS,Greenwich,105deg 30min  0.000sec W,,,,,39deg 45min  0.000sec N,38deg 27min  0.000sec N,37deg 50min  0.000sec N,105deg 30min  0.000sec W,2000000,0,,,,,,,,abbr req (26),16,P0173
Colorado CS27 South zone,Colorado South,10503,United States - Colorado - counties south of 38d 30m North.,USGS Professional Paper #1395,,02-Jun-95,Lambert Conic Conformal (2SP),9003,U.S. Survey Foot,9107,DMS,Greenwich,105deg 30min  0.000sec W,,,,,38deg 26min  0.000sec N,37deg 14min  0.000sec N,36deg 40min  0.000sec N,105deg 30min  0.000sec W,2000000,0,,,,,,,,24,14,P0174
Colorado CS83 North zone,Colorado North,10531,United States - Colorado - counties north of 39d 50m North.,NOAA manual NOS NGS 5,,02-Jun-95,Lambert Conic Conformal (2SP),9001,metre,9107,DMS,Greenwich,105deg 30min  0.000sec W,,,,,40deg 47min  0.000sec N,39deg 43min  0.000sec N,39deg 20min  0.000sec N,105deg 30min  0.000sec W,914401.83,304800.6096,,,,,,,,24,14,P0175
Colorado CS83 Central zone,Colorado Central,10532,United States - Colorado - counties between 39d 50m & 38d 30m North.,NOAA manual NOS NGS 5,,02-Jun-95,Lambert Conic Conformal (2SP),9001,metre,9107,DMS,Greenwich,105deg 30min  0.000sec W,,,,,39deg 45min  0.000sec N,38deg 27min  0.000sec N,37deg 50min  0.000sec N,105deg 30min  0.000sec W,914401.83,304800.6096,,,,,,,,abbr req (26),16,P0176
Colorado CS83 South zone,Colorado South,10533,United States - Colorado - counties south of 38d 30m North.,NOAA manual NOS NGS 5,,02-Jun-95,Lambert Conic Conformal (2SP),9001,metre,9107,DMS,Greenwich,105deg 30min  0.000sec W,,,,,38deg 26min  0.000sec N,37deg 14min  0.000sec N,36deg 40min  0.000sec N,105deg 30min  0.000sec W,914401.83,304800.6096,,,,,,,,24,14,P0177
Connecticut CS27,Connecticut ,10600,United States - Connecticut,USGS Professional Paper #1395,,02-Jun-95,Lambert Conic Conformal (2SP),9003,U.S. Survey Foot,9107,DMS,Greenwich,72deg 45min  0.000sec W,,,,,41deg 52min  0.000sec N,41deg 12min  0.000sec N,40deg 50min  0.000sec N,72deg 45min  0.000sec W,600000,0,,,,,,,,16,12,P0178
Connecticut CS83,Connecticut ,10630,United States - Connecticut,NOAA manual NOS NGS 5,,02-Jun-95,Lambert Conic Conformal (2SP),9001,metre,9107,DMS,Greenwich,72deg 45min  0.000sec W,,,,,41deg 52min  0.000sec N,41deg 12min  0.000sec N,40deg 50min  0.000sec N,72deg 45min  0.000sec W,304800.6096,152400.30,,,,,,,,16,12,P0179
Delaware CS27 ,Delaware ,10700,United States - Delaware,USGS Professional Paper #1395,,02-Jun-95,Transverse Mercator,9003,U.S. Survey Foot,9107,DMS,Greenwich,75deg 25min  0.000sec W,38deg  0min  0.000sec N,0.9999950,500000,0,,,,,,,,,,,,,,14,9,P0180
Delaware CS83,Delaware ,10730,United States - Delaware,NOAA manual NOS NGS 5,,02-Jun-95,Transverse Mercator,9001,metre,9107,DMS,Greenwich,75deg 25min  0.000sec W,38deg  0min  0.000sec N,0.9999950,200000,0,,,,,,,,,,,,,,13,9,P0181
Florida CS27 East zone ,Florida East ,10901,United States - Florida - counties east of 81d 45m West,USGS Professional Paper #1395,,02-Jun-95,Transverse Mercator,9003,U.S. Survey Foot,9107,DMS,Greenwich,81deg  0min  0.000sec W,24deg 20min  0.000sec N,0.9999412,500000,0,,,,,,,,,,,,,,23,13,P0183
Florida CS27 West zone ,Florida West ,10902,United States - Florida - counties west of 81d 45m West & south of 29d 30m North,USGS Professional Paper #1395,,02-Jun-95,Transverse Mercator,9003,U.S. Survey Foot,9107,DMS,Greenwich,82deg  0min  0.000sec W,24deg 20min  0.000sec N,0.9999412,500000,0,,,,,,,,,,,,,,23,13,P0184
Florida CS27 North zone,Florida North,10903,United States - Florida - north of 29d 30m North & west of 82d West,USGS Professional Paper #1395,,02-Jun-95,Lambert Conic Conformal (2SP),9003,U.S. Survey Foot,9107,DMS,Greenwich,84deg 30min  0.000sec W,,,,,30deg 45min  0.000sec N,29deg 35min  0.000sec N,29deg  0min  0.000sec N,84deg 30min  0.000sec W,2000000,0,,,,,,,,23,13,P0182
Florida CS83 East zone,Florida  East,10931,United States - Florida - counties east of 81d 45m West,NOAA manual NOS NGS 5,,02-Jun-95,Transverse Mercator,9001,metre,9107,DMS,Greenwich,81deg  0min  0.000sec W,24deg 20min  0.000sec N,0.9999412,200000,0,,,,,,,,,,,,,,22,13,P0186
Florida CS83 West zone,Florida  West,10932,United States - Florida - counties west of 81d 45m West & south of 29d 30m North,NOAA manual NOS NGS 5,,02-Jun-95,Transverse Mercator,9001,metre,9107,DMS,Greenwich,82deg  0min  0.000sec W,24deg 20min  0.000sec N,0.9999412,200000,0,,,,,,,,,,,,,,22,13,P0187
Florida CS83 North zone,Florida North,10933,United States - Florida - north of 29d 30m North & west of 82d West,NOAA manual NOS NGS 5,,02-Jun-95,Lambert Conic Conformal (2SP),9001,metre,9107,DMS,Greenwich,84deg 30min  0.000sec W,,,,,30deg 45min  0.000sec N,29deg 35min  0.000sec N,29deg  0min  0.000sec N,84deg 30min  0.000sec W,600000,0,,,,,,,,23,13,P0185
Georgia CS27 East zone ,Georgia East ,11001,United States - Georgia - counties east of 83d 15m West,USGS Professional Paper #1395,,02-Jun-95,Transverse Mercator,9003,U.S. Survey Foot,9107,DMS,Greenwich,82deg 10min  0.000sec W,30deg  0min  0.000sec N,0.9999000,500000,0,,,,,,,,,,,,,,23,13,P0188
Georgia CS27 West zone ,Georgia West ,11002,United States - Georgia - counties west of 83d 15m West,USGS Professional Paper #1395,,02-Jun-95,Transverse Mercator,9003,U.S. Survey Foot,9107,DMS,Greenwich,84deg 10min  0.000sec W,30deg  0min  0.000sec N,0.9999000,500000,0,,,,,,,,,,,,,,23,13,P0189
Georgia CS83 East zone,Georgia  East,11031,United States - Georgia - counties east of 83d 15m West,NOAA manual NOS NGS 5,,02-Jun-95,Transverse Mercator,9001,metre,9107,DMS,Greenwich,82deg 10min  0.000sec W,30deg  0min  0.000sec N,0.9999000,200000,0,,,,,,,,,,,,,,22,13,P0190
Georgia CS83 West zone,Georgia West,11032,United States - Georgia - counties west of 83d 15m West,NOAA manual NOS NGS 5,,02-Jun-95,Transverse Mercator,9001,metre,9107,DMS,Greenwich,84deg 10min  0.000sec W,30deg  0min  0.000sec N,0.9999000,700000,0,,,,,,,,,,,,,,22,12,P0191
Hawaii CS27 zone 1,Hawaii zone 1,15101,United States - Hawaii - island of Hawaii,USGS Professional Paper #1395,,02-Jun-95,Transverse Mercator,9003,U.S. Survey Foot,9107,DMS,Greenwich,155deg 30min  0.000sec W,18deg 50min  0.000sec N,0.9999667,500000,0,,,,,,,,,,,,,,18,13,P0192
Hawaii CS27 zone 2,Hawaii zone 2,15102,United States - Hawaii - Maui; Kahoolawe; Lanai; Molokai,USGS Professional Paper #1395,,02-Jun-95,Transverse Mercator,9003,U.S. Survey Foot,9107,DMS,Greenwich,156deg 40min  0.000sec W,20deg 20min  0.000sec N,0.9999667,500000,0,,,,,,,,,,,,,,18,13,P0193
Hawaii CS27 zone 3,Hawaii zone 3,15103,United States - Hawaii - Oahu,USGS Professional Paper #1395,,02-Jun-95,Transverse Mercator,9003,U.S. Survey Foot,9107,DMS,Greenwich,158deg  0min  0.000sec W,21deg 10min  0.000sec N,0.9999900,500000,0,,,,,,,,,,,,,,18,13,P0194
Hawaii CS27 zone 4,Hawaii zone 4,15104,United States - Hawaii - Kauai,USGS Professional Paper #1395,,02-Jun-95,Transverse Mercator,9003,U.S. Survey Foot,9107,DMS,Greenwich,159deg 30min  0.000sec W,21deg 50min  0.000sec N,0.9999900,500000,0,,,,,,,,,,,,,,18,13,P0195
Hawaii CS27 zone 5,Hawaii zone 5,15105,United States - Hawaii - Niihau,USGS Professional Paper #1395,,02-Jun-95,Transverse Mercator,9003,U.S. Survey Foot,9107,DMS,Greenwich,160deg 10min  0.000sec W,21deg 40min  0.000sec N,1.0000000,500000,0,,,,,,,,,,,,,,18,13,P0196
Hawaii CS83 zone 1,Hawaii  zone 1,15131,United States - Hawaii - island of Hawaii,NOAA manual NOS NGS 5,,02-Jun-95,Transverse Mercator,9001,metre,9107,DMS,Greenwich,155deg 30min  0.000sec W,18deg 50min  0.000sec N,0.9999667,500000,0,,,,,,,,,,,,,,18,14,P0197
Hawaii CS83 zone 2,Hawaii  zone 2,15132,United States - Hawaii - Maui; Kahoolawe; Lanai; Molokai,NOAA manual NOS NGS 5,,02-Jun-95,Transverse Mercator,9001,metre,9107,DMS,Greenwich,156deg 40min  0.000sec W,20deg 20min  0.000sec N,0.9999667,500000,0,,,,,,,,,,,,,,18,14,P0198
Hawaii CS83 zone 3,Hawaii  zone 3,15133,United States - Hawaii - Oahu,NOAA manual NOS NGS 5,,02-Jun-95,Transverse Mercator,9001,metre,9107,DMS,Greenwich,158deg  0min  0.000sec W,21deg 10min  0.000sec N,0.9999900,500000,0,,,,,,,,,,,,,,18,14,P0199
Hawaii CS83 zone 4,Hawaii  zone 4,15134,United States - Hawaii - Kauai,NOAA manual NOS NGS 5,,02-Jun-95,Transverse Mercator,9001,metre,9107,DMS,Greenwich,159deg 30min  0.000sec W,21deg 50min  0.000sec N,0.9999900,500000,0,,,,,,,,,,,,,,18,14,P0200
Hawaii CS83 zone 5,Hawaii  zone 5,15135,United States - Hawaii - Niihau,NOAA manual NOS NGS 5,,02-Jun-95,Transverse Mercator,9001,metre,9107,DMS,Greenwich,160deg 10min  0.000sec W,21deg 40min  0.000sec N,1.0000000,500000,0,,,,,,,,,,,,,,18,14,P0201
Idaho CS27 East zone ,Idaho East ,11101,United States - Idaho - counties east of 113d West,USGS Professional Paper #1395,,02-Jun-95,Transverse Mercator,9003,U.S. Survey Foot,9107,DMS,Greenwich,112deg 10min  0.000sec W,41deg 40min  0.000sec N,0.9999474,500000,0,,,,,,,,,,,,,,21,11,P0202
Idaho CS27 Central zone ,Idaho Central ,11102,United States - Idaho - counties between 113d & 115d West,USGS Professional Paper #1395,,02-Jun-95,Transverse Mercator,9003,U.S. Survey Foot,9107,DMS,Greenwich,114deg  0min  0.000sec W,41deg 40min  0.000sec N,0.9999474,500000,0,,,,,,,,,,,,,,24,14,P0203
Idaho CS27 West zone ,Idaho West ,11103,United States - Idaho - counties west of 115d West,USGS Professional Paper #1395,,02-Jun-95,Transverse Mercator,9003,U.S. Survey Foot,9107,DMS,Greenwich,115deg 45min  0.000sec W,41deg 40min  0.000sec N,0.9999333,500000,0,,,,,,,,,,,,,,21,11,P0204
Idaho CS83 East zone,Idaho  East,11131,United States - Idaho - counties east of 113d West,NOAA manual NOS NGS 5,,02-Jun-95,Transverse Mercator,9001,metre,9107,DMS,Greenwich,112deg 10min  0.000sec W,41deg 40min  0.000sec N,0.9999474,200000,0,,,,,,,,,,,,,,20,11,P0205
Idaho CS83 Central zone,Idaho  Central,11132,United States - Idaho - counties between 113d & 115d West,NOAA manual NOS NGS 5,,02-Jun-95,Transverse Mercator,9001,metre,9107,DMS,Greenwich,114deg  0min  0.000sec W,41deg 40min  0.000sec N,0.9999474,500000,0,,,,,,,,,,,,,,23,14,P0206
Idaho CS83 West zone,Idaho  West,11133,United States - Idaho - counties west of 115d West,NOAA manual NOS NGS 5,,02-Jun-95,Transverse Mercator,9001,metre,9107,DMS,Greenwich,115deg 45min  0.000sec W,41deg 40min  0.000sec N,0.9999333,800000,0,,,,,,,,,,,,,,20,11,P0207
Illinois CS27 East zone ,Illinois East ,11201,United States - Illinois - counties east of 89d 05m West,USGS Professional Paper #1395,,02-Jun-95,Transverse Mercator,9003,U.S. Survey Foot,9107,DMS,Greenwich,88deg 20min  0.000sec W,36deg 40min  0.000sec N,0.9999750,500000,0,,,,,,,,,,,,,,24,14,P0208
Illinois CS27 West zone ,Illinois West ,11202,United States - Illinois - counties west of 89d 05m West,USGS Professional Paper #1395,,02-Jun-95,Transverse Mercator,9003,U.S. Survey Foot,9107,DMS,Greenwich,90deg 10min  0.000sec W,36deg 40min  0.000sec N,0.9999412,500000,0,,,,,,,,,,,,,,24,14,P0209
Illinois CS83 East zone,Illinois  East,11231,United States - Illinois - counties east of 89d 05m West,NOAA manual NOS NGS 5,,02-Jun-95,Transverse Mercator,9001,metre,9107,DMS,Greenwich,88deg 20min  0.000sec W,36deg 40min  0.000sec N,0.9999750,300000,0,,,,,,,,,,,,,,23,14,P0210
Illinois CS83 West zone,Illinois  West,11232,United States - Illinois - counties west of 89d 05m West,NOAA manual NOS NGS 5,,02-Jun-95,Transverse Mercator,9001,metre,9107,DMS,Greenwich,90deg 10min  0.000sec W,36deg 40min  0.000sec N,0.9999412,700000,0,,,,,,,,,,,,,,23,14,P0211
Indiana CS27 East zone ,Indiana East ,11301,United States - Indiana - counties east of 86d 25m West,USGS Professional Paper #1395,,02-Jun-95,Transverse Mercator,9003,U.S. Survey Foot,9107,DMS,Greenwich,85deg 40min  0.000sec W,37deg 30min  0.000sec N,0.9999667,500000,0,,,,,,,,,,,,,,23,13,P0212
Indiana CS27 West zone ,Indiana West ,11302,United States - Indiana - counties west of 86d 25m West,USGS Professional Paper #1395,,02-Jun-95,Transverse Mercator,9003,U.S. Survey Foot,9107,DMS,Greenwich,87deg  5min  0.000sec W,37deg 30min  0.000sec N,0.9999667,500000,0,,,,,,,,,,,,,,23,13,P0213
Indiana CS83 East zone,Indiana  East,11331,United States - Indiana - counties east of 86d 25m West,NOAA manual NOS NGS 5,,02-Jun-95,Transverse Mercator,9001,metre,9107,DMS,Greenwich,85deg 40min  0.000sec W,37deg 30min  0.000sec N,0.9999667,100000,250000,,,,,,,,,,,,,,22,13,P0214
Indiana CS83 West zone,Indiana  West,11332,United States - Indiana - counties west of 86d 25m West,NOAA manual NOS NGS 5,,02-Jun-95,Transverse Mercator,9001,metre,9107,DMS,Greenwich,87deg  5min  0.000sec W,37deg 30min  0.000sec N,0.9999667,900000,250000,,,,,,,,,,,,,,22,13,P0215
Iowa CS27 North zone,Iowa North,11401,United States - Iowa - counties north of 42deg North.,USGS Professional Paper #1395,,02-Jun-95,Lambert Conic Conformal (2SP),9003,U.S. Survey Foot,9107,DMS,Greenwich,93deg 30min  0.000sec W,,,,,43deg 16min  0.000sec N,42deg  4min  0.000sec N,41deg 30min  0.000sec N,93deg 30min  0.000sec W,2000000,0,,,,,,,,20,10,P0216
Iowa CS27 South zone,Iowa South,11402,United States - Iowa - counties south of 42deg North.,USGS Professional Paper #1395,,02-Jun-95,Lambert Conic Conformal (2SP),9003,U.S. Survey Foot,9107,DMS,Greenwich,93deg 30min  0.000sec W,,,,,41deg 47min  0.000sec N,40deg 37min  0.000sec N,40deg  0min  0.000sec N,93deg 30min  0.000sec W,2000000,0,,,,,,,,20,10,P0217
Iowa CS83 North zone,Iowa North,11431,United States - Iowa - counties north of 42deg North.,NOAA manual NOS NGS 5,,02-Jun-95,Lambert Conic Conformal (2SP),9001,metre,9107,DMS,Greenwich,93deg 30min  0.000sec W,,,,,43deg 16min  0.000sec N,42deg  4min  0.000sec N,41deg 30min  0.000sec N,93deg 30min  0.000sec W,1500000,1000000,,,,,,,,20,10,P0218
Iowa CS83 South zone,Iowa South,11432,United States - Iowa - counties south of 42deg North.,NOAA manual NOS NGS 5,,02-Jun-95,Lambert Conic Conformal (2SP),9001,metre,9107,DMS,Greenwich,93deg 30min  0.000sec W,,,,,41deg 47min  0.000sec N,40deg 37min  0.000sec N,40deg  0min  0.000sec N,93deg 30min  0.000sec W,500000,0,,,,,,,,20,10,P0219
Kansas CS27 North zone,Kansas North,11501,United States - Kansas - counties north of 38d 45m North.,USGS Professional Paper #1395,,02-Jun-95,Lambert Conic Conformal (2SP),9003,U.S. Survey Foot,9107,DMS,Greenwich,98deg  0min  0.000sec W,,,,,39deg 47min  0.000sec N,38deg 43min  0.000sec N,38deg 20min  0.000sec N,98deg  0min  0.000sec W,2000000,0,,,,,,,,22,12,P0220
Kansas CS27 South zone,Kansas South,11502,United States - Kansas - counties south of 38d 45m North.,USGS Professional Paper #1395,,02-Jun-95,Lambert Conic Conformal (2SP),9003,U.S. Survey Foot,9107,DMS,Greenwich,98deg 30min  0.000sec W,,,,,38deg 34min  0.000sec N,37deg 16min  0.000sec N,36deg 40min  0.000sec N,98deg 30min  0.000sec W,2000000,0,,,,,,,,22,12,P0221
Kansas CS83 North zone,Kansas North,11531,United States - Kansas - counties north of 38d 45m North.,NOAA manual NOS NGS 5,,02-Jun-95,Lambert Conic Conformal (2SP),9001,metre,9107,DMS,Greenwich,98deg  0min  0.000sec W,,,,,39deg 47min  0.000sec N,38deg 43min  0.000sec N,38deg 20min  0.000sec N,98deg  0min  0.000sec W,400000,0,,,,,,,,22,12,P0222
Kansas CS83 South zone,Kansas South,11532,United States - Kansas - counties south of 38d 45m North.,NOAA manual NOS NGS 5,,02-Jun-95,Lambert Conic Conformal (2SP),9001,metre,9107,DMS,Greenwich,98deg 30min  0.000sec W,,,,,38deg 34min  0.000sec N,37deg 16min  0.000sec N,36deg 40min  0.000sec N,98deg 30min  0.000sec W,400000,400000,,,,,,,,22,12,P0223
Kentucky CS27 North zone,Kentucky North,11601,United States - Kentucky - counties north of 37d 55m North.,USGS Professional Paper #1395,,02-Jun-95,Lambert Conic Conformal (2SP),9003,U.S. Survey Foot,9107,DMS,Greenwich,84deg 15min  0.000sec W,,,,,37deg 58min  0.000sec N,38deg 58min  0.000sec N,37deg 30min  0.000sec N,84deg 15min  0.000sec W,2000000,0,,,,,,,,24,14,P0224
Kentucky CS27 South zone,Kentucky South,11602,United States - Kentucky - counties south of 37d 55m North.,USGS Professional Paper #1395,,02-Jun-95,Lambert Conic Conformal (2SP),9003,U.S. Survey Foot,9107,DMS,Greenwich,85deg 45min  0.000sec W,,,,,36deg 44min  0.000sec N,37deg 56min  0.000sec N,36deg 20min  0.000sec N,85deg 45min  0.000sec W,2000000,0,,,,,,,,24,14,P0225
Kentucky CS83 North zone,Kentucky North,11631,United States - Kentucky - counties north of 37d 55m North.,NOAA manual NOS NGS 5,,02-Jun-95,Lambert Conic Conformal (2SP),9001,metre,9107,DMS,Greenwich,84deg 15min  0.000sec W,,,,,38deg 58min  0.000sec N,37deg 58min  0.000sec N,37deg 30min  0.000sec N,84deg 15min  0.000sec W,500000,0,,,,,,,,24,14,P0226
Kentucky CS83 South zone,Kentucky South,11632,United States - Kentucky - counties south of 37d 55m North.,NOAA manual NOS NGS 5,,02-Jun-95,Lambert Conic Conformal (2SP),9001,metre,9107,DMS,Greenwich,84deg 45min  0.000sec W,,,,,37deg 56min  0.000sec N,36deg 44min  0.000sec N,36deg 20min  0.000sec N,85deg 45min  0.000sec W,500000,500000,,,,,,,,24,14,P0227
Louisiana CS27 North zone,Louisiana North,11701,United States - Louisiana - counties north of 30d 55m North.,USGS Professional Paper #1395,,02-Jun-95,Lambert Conic Conformal (2SP),9003,U.S. Survey Foot,9107,DMS,Greenwich,92deg 30min  0.000sec W,,,,,31deg 10min  0.000sec N,32deg 40min  0.000sec N,30deg 40min  0.000sec N,92deg 30min  0.000sec W,2000000,0,,,,,,,,abbr req (25),15,P0228
Louisiana CS27 South zone,Louisiana South,11702,United States - Louisiana - counties south of 30d 55m North. Also Gulf of Mexico LA shelf.,USGS Professional Paper #1395,,02-Jun-95,Lambert Conic Conformal (2SP),9003,U.S. Survey Foot,9107,DMS,Greenwich,91deg 20min  0.000sec W,,,,,29deg 18min  0.000sec N,30deg 42min  0.000sec N,28deg 40min  0.000sec N,91deg 20min  0.000sec W,2000000,0,,,,,,,,abbr req (25),15,P0229
Louisiana CS83 North zone,Louisiana North,11731,United States - Louisiana - counties north of 30d 55m North.,NOAA manual NOS NGS 5,,02-Jun-95,Lambert Conic Conformal (2SP),9001,metre,9107,DMS,Greenwich,92deg 30min  0.000sec W,,,,,32deg 40min  0.000sec N,31deg 10min  0.000sec N,30deg 30min  0.000sec N,92deg 30min  0.000sec W,1000000,0,,,,,,,,abbr req (25),15,P0230
Louisiana CS83 South zone,Louisiana South,11732,United States - Louisiana - counties south of 30d 55m North.,NOAA manual NOS NGS 5,,02-Jun-95,Lambert Conic Conformal (2SP),9001,metre,9107,DMS,Greenwich,91deg 20min  0.000sec W,,,,,30deg 42min  0.000sec N,29deg 18min  0.000sec N,28deg 30min  0.000sec N,91deg 20min  0.000sec W,1000000,0,,,,,,,,abbr req (25),15,P0231
Maine CS27 East zone ,Maine East ,11801,United States - Maine - counties east of 69d 30m West,USGS Professional Paper #1395,,02-Jun-95,Transverse Mercator,9003,U.S. Survey Foot,9107,DMS,Greenwich,68deg 30min  0.000sec W,43deg 50min  0.000sec N,0.9999000,500000,0,,,,,,,,,,,,,,21,11,P0232
Maine CS27 West zone ,Maine West ,11802,United States - Maine - counties west of 69d 30m West,USGS Professional Paper #1395,,02-Jun-95,Transverse Mercator,9003,U.S. Survey Foot,9107,DMS,Greenwich,70deg 10min  0.000sec W,42deg 50min  0.000sec N,0.9999667,500000,0,,,,,,,,,,,,,,21,11,P0233
Maine CS83 East zone,Maine  East,11831,United States - Maine - counties east of 69d 30m West,NOAA manual NOS NGS 5,,02-Jun-95,Transverse Mercator,9001,metre,9107,DMS,Greenwich,68deg 30min  0.000sec W,43deg 40min  0.000sec N,0.9999000,300000,0,,,,,,,,,,,,,,20,11,P0234
Maine CS83 West zone,Maine  West,11832,United States - Maine - counties west of 69d 30m West,NOAA manual NOS NGS 5,,02-Jun-95,Transverse Mercator,9001,metre,9107,DMS,Greenwich,70deg 10min  0.000sec W,42deg 50min  0.000sec N,0.9999667,900000,0,,,,,,,,,,,,,,20,11,P0235
Maryland CS27,Maryland ,11900,United States - Maryland,USGS Professional Paper #1395,,02-Jun-95,Lambert Conic Conformal (2SP),9003,U.S. Survey Foot,9107,DMS,Greenwich,77deg  0min  0.000sec W,,,,,38deg 18min  0.000sec N,39deg 27min  0.000sec N,37deg 50min  0.000sec N,77deg  0min  0.000sec W,800000,0,,,,,,,,13,9,P0236
Maryland CS83,Maryland ,11930,United States - Maryland,NOAA manual NOS NGS 5,,02-Jun-95,Lambert Conic Conformal (2SP),9001,metre,9107,DMS,Greenwich,77deg  0min  0.000sec W,,,,,39deg 27min  0.000sec N,38deg 18min  0.000sec N,37deg 40min  0.000sec N,77deg  0min  0.000sec W,400000,0,,,,,,,,13,9,P0237
Massachusetts CS27 Mainland zone,Massachusetts Mainland,12001,United States - Massachusetts onshore,USGS Professional Paper #1395,,02-Jun-95,Lambert Conic Conformal (2SP),9003,U.S. Survey Foot,9107,DMS,Greenwich,71deg 30min  0.000sec W,,,,,41deg 43min  0.000sec N,42deg 41min  0.000sec N,41deg  0min  0.000sec N,71deg 30min  0.000sec W,600000,0,,,,,,,,abbr req (32),22,P0238
Massachusetts CS27 Island zone,Massachusetts Island,12002,United States - Massachusetts islands,USGS Professional Paper #1395,,02-Jun-95,Lambert Conic Conformal (2SP),9003,U.S. Survey Foot,9107,DMS,Greenwich,70deg 30min  0.000sec W,,,,,41deg 17min  0.000sec N,41deg 29min  0.000sec N,41deg  0min  0.000sec N,70deg 30min  0.000sec W,200000,0,,,,,,,,abbr req (30),20,P0239
Massachusetts CS83 Mainland zone,Massachusetts Mainland,12031,United States - Massachusetts onshore,NOAA manual NOS NGS 5,,02-Jun-95,Lambert Conic Conformal (2SP),9001,metre,9107,DMS,Greenwich,71deg 30min  0.000sec W,,,,,42deg 41min  0.000sec N,41deg 43min  0.000sec N,41deg  0min  0.000sec N,71deg 30min  0.000sec W,200000,750000,,,,,,,,abbr req (32),22,P0240
Massachusetts CS83 Island zone,Massachusetts Island,12032,United States - Massachusetts islands,NOAA manual NOS NGS 5,,02-Jun-95,Lambert Conic Conformal (2SP),9001,metre,9107,DMS,Greenwich,70deg 30min  0.000sec W,,,,,41deg 29min  0.000sec N,41deg 17min  0.000sec N,41deg  0min  0.000sec N,70deg 30min  0.000sec W,500000,0,,,,,,,,abbr req (30),20,P0241
Michigan State Plane East zone ,Michigan East ,12101,United States - Michigan,USGS Professional Paper #1395,"Obsolete. Superceded by north, central and south zones.",02-Jun-95,Transverse Mercator,9004,Modified American Foot,9107,DMS,Greenwich,83deg 40min  0.000sec W,41deg 30min  0.000sec N,0.9999429,500000,0,,,,,,,,,,,,,,abbr req (31),14,P0242
Michigan State Plane Old Central zone,Michigan Old Central,12102,United States - Michigan,USGS Professional Paper #1395,"Obsolete. Superceded by north, central and south zones.",02-Jun-95,Transverse Mercator,9004,Modified American Foot,9107,DMS,Greenwich,85deg 45min  0.000sec W,41deg 30min  0.000sec N,0.9999091,500000,0,,,,,,,,,,,,,,abbr req (37),20,P0243
Michigan State Plane West zone ,Michigan West ,12103,United States - Michigan,USGS Professional Paper #1395,"Obsolete. Superceded by north, central and south zones.",02-Jun-95,Transverse Mercator,9004,Modified American Foot,9107,DMS,Greenwich,88deg 45min  0.000sec W,41deg 30min  0.000sec N,0.9999091,500000,0,,,,,,,,,,,,,,abbr req (31),14,P0244
Michigan CS27 North zone,Michigan North,12111,United States - Michigan - counties north of 45d 45m North.,USGS Professional Paper #1395,,02-Jun-95,Lambert Conic Conformal (2SP),9003,U.S. Survey Foot,9107,DMS,Greenwich,87deg  0min  0.000sec W,,,,,45deg 29min  0.000sec N,47deg  5min  0.000sec N,44deg 47min  0.000sec N,87deg  0min  0.000sec W,2000000,0,,,,,,,,24,14,P0245
Michigan CS27 Central zone,Michigan Central,12112,United States - Michigan - counties between 45d 45m & 43d 55m North.,USGS Professional Paper #1395,,02-Jun-95,Lambert Conic Conformal (2SP),9003,U.S. Survey Foot,9107,DMS,Greenwich,84deg 20min  0.000sec W,,,,,44deg 11min  0.000sec N,45deg 42min  0.000sec N,43deg 19min  0.000sec N,84deg 20min  0.000sec W,2000000,0,,,,,,,,abbr req (26),16,P0246
Michigan CS27 South zone,Michigan South,12113,United States - Michigan - counties south of 43d 55m North.,USGS Professional Paper #1395,,02-Jun-95,Lambert Conic Conformal (2SP),9003,U.S. Survey Foot,9107,DMS,Greenwich,84deg 20min  0.000sec W,,,,,42deg  6min  0.000sec N,43deg 40min  0.000sec N,41deg 30min  0.000sec N,84deg 20min  0.000sec W,2000000,0,,,,,,,,24,14,P0247
