Projected,Projected,,Area of Use,Revision,Geog.,Map,Geographic,Map Projection,Map Projection,Information,Remarks,PCS,PCS
Coordinate System,Coordinate System,PCS,,Date,C.S.,Projn.,C.S.,Zone,Zone,Source,,Name,Abbr
Name,Abbreviation,Code,,,Code,Code,Name,,Abbreviation,,,Length,Length

NAD83 / Wyoming West Central ,NAD83 / Wyoming W. Cen.,32157,United States - Wyoming - counties between 108d 10m & 109d 40m West.,02-Jun-95,4269,14933,NAD83,Wyoming CS83 West Central zone ,Wyoming West Central ,,,abbr req (29),23
NAD83 / Wyoming West ,,32158,United States - Wyoming - counties west of 109d 40m West.,02-Jun-95,4269,14934,NAD83,Wyoming CS83 West zone ,Wyoming West ,,,21,0
NAD83 / Puerto Rico & Virgin Is.,,32161,Puerto Rico and U.S. Virgin Islands,02-Jun-95,4269,15230,NAD83,Puerto Rico & Virgin Islands CS83,Puerto Rico & Virgin Is.,,,abbr req (32),0
Nahrwan 1967 / UTM zone 38N,Nahrwan 1967 / UTM 38N,27038,Kuwait,02-Jun-95,4270,16038,Nahrwan 1967,UTM zone 38N,,,,abbr req (27),22
Nahrwan 1967 / UTM zone 39N,Nahrwan 1967 / UTM 39N,27039,United Arab Emirates - west of 54 deg E,02-Jun-95,4270,16039,Nahrwan 1967,UTM zone 39N,,,,abbr req (27),22
Nahrwan 1967 / UTM zone 40N,Nahrwan 1967 / UTM 40N,27040,United Arab Emirates - east of 54 deg E,02-Jun-95,4270,16040,Nahrwan 1967,UTM zone 40N,,,,abbr req (27),22
Naparima 1972 / UTM zone 20N,Naparima / UTM 20N,27120,Trinidad and Tobago,02-Jun-95,4271,16020,Naparima 1972,UTM zone 20N,,,,abbr req (28),18
Nord Sahara 1959 / UTM zone 29N,Nord Sahara / UTM 29N,30729,Algeria west of 6 deg W. ,02-Jun-95,4307,16029,Nord Sahara 1959,UTM zone 29N,,,,abbr req (31),21
Nord Sahara 1959 / UTM zone 30N,Nord Sahara / UTM 30N,30730,Algeria 6 deg W to 0 deg E. ,02-Jun-95,4307,16030,Nord Sahara 1959,UTM zone 30N,,,,abbr req (31),21
Nord Sahara 1959 / UTM zone 31N,Nord Sahara / UTM 31N,30731,Algeria 0 deg to 6 deg E. ,02-Jun-95,4307,16031,Nord Sahara 1959,UTM zone 31N,,,,abbr req (31),21
Nord Sahara 1959 / UTM zone 32N,Nord Sahara / UTM 32N,30732,Algeria east of 6 deg E. ,02-Jun-95,4307,16032,Nord Sahara 1959,UTM zone 32N,,,,abbr req (31),21
NTF (Paris) / France I,NTF / France I,27581,France north of 53.5 grads (48 deg 09 min) N,02-Jun-95,4807,18081,NTF (Paris),France I,,,,22,14
NTF (Paris) / France II,NTF / France II,27582,France 50.5 to 53.5 grads (45 deg 27 min to 48 deg 09 min) N,02-Jun-95,4807,18082,NTF (Paris),France II,,,,23,15
NTF (Paris) / France III,NTF / France III,27583,France south of 50.5 grads (45 deg 27 min) N,02-Jun-95,4807,18083,NTF (Paris),France III,,,,24,16
NTF (Paris) / Nord France,NTF / Nord France,27591,France north of 53.5 grads (48 deg 09 min) N,02-Jun-95,4807,18091,NTF (Paris),Nord France (Zone 1),Nord France,,,abbr req (25),17
NTF (Paris) / Centre France,NTF / Centre France,27592,France 50.5 to 53.5 grads (45 deg 27 min to 48 deg 09 min) N,02-Jun-95,4807,18092,NTF (Paris),Centre France (Zone 2),Centre France,,,abbr req (27),19
NTF (Paris) / Sud France,NTF / Sud France,27593,France south of 50.5 grads (45 deg 27 min) N,02-Jun-95,4807,18093,NTF (Paris),Sud France (Zone 3),Sud France,,,24,16
OSGB 1936 / British National Grid,British National Grid,27700,United Kingdom - onshore England; Scotland; Wales; Isle of Man,02-Jun-95,4277,19916,OSGB 1936,British National Grid,,,,abbr req (33),21
Pointe Noire / UTM zone 32S,Point Noire / UTM 32S,28232,Congo,02-Jun-95,4282,16132,Pointe Noire,UTM zone 32S,,,,abbr req (27),21
PSAD56 / UTM zone 18N,,24818,South America (Ecuador;  Venezuela) 78deg West to 72deg West,02-Jun-95,4248,16018,PSAD56,UTM zone 18N,,,,21,0
PSAD56 / UTM zone 19N,,24819,South America (Netherlands Antilles; Venezuela) 72deg West to 66deg West,02-Jun-95,4248,16019,PSAD56,UTM zone 19N,,,,21,0
PSAD56 / UTM zone 20N,,24820,South America (Guyana; Venezuela) 66deg West to 60deg West,02-Jun-95,4248,16020,PSAD56,UTM zone 20N,,,,21,0
PSAD56 / UTM zone 21N,,24821,South America (Guyana; Surinam) 60deg West to 54deg West,02-Jun-95,4248,16021,PSAD56,UTM zone 21N,,,,21,0
PSAD56 / UTM zone 17S,,24877,South America (Chile; Ecuador; Peru) 84deg West to 78deg West,02-Jun-95,4248,16117,PSAD56,UTM zone 17S,,,,21,0
PSAD56 / UTM zone 18S,,24878,South America (Chile; Ecuador; Peru) 78deg West to 72deg West,02-Jun-95,4248,16118,PSAD56,UTM zone 18S,,,,21,0
PSAD56 / UTM zone 19S,,24879,South America (Bolivia; Chile; Peru) 72deg West to 66deg West,02-Jun-95,4248,16119,PSAD56,UTM zone 19S,,,,21,0
PSAD56 / UTM zone 20S,,24880,South America (Bolivia) 66deg West to 60deg West,02-Jun-95,4248,16120,PSAD56,UTM zone 20S,,,,21,0
PSAD56 / Peru west zone,,24891,Peru east of 73 deg W,02-Jun-95,4248,18161,PSAD56,Peru west zone,,,,23,0
PSAD56 / Peru central zone,PSAD56 / Peru central,24892,Peru 79 to 73 deg W,02-Jun-95,4248,18162,PSAD56,Peru central zone,,,,abbr req (26),21
PSAD56 / Peru east zone,,24893,Peru east of 73 deg W,02-Jun-95,4248,18163,PSAD56,Peru east zone,,,,23,0
Pulkovo 1942 / Gauss-Kruger zone 4,Pulkovo / Gauss zone 4,28404,Latvia;  Lithuania;  Russia;   Ukraine;   - west of 24 deg E,02-Jun-95,4284,16204,Pulkovo 1942,Gauss-Kruger zone 4,,,,abbr req (34),22
Pulkovo 1942 / Gauss-Kruger zone 5,Pulkovo / Gauss zone 5,28405,Belorus - west of 30 deg E;             Latvia; Lithuania; - east of 24 deg E                                                                                 Estonia;  Moldavia                          Russia;  Ukraine; - 24 deg E to 30 deg E,02-Jun-95,4284,16205,Pulkovo 1942,Gauss-Kruger zone 5,,,,abbr req (34),22
Pulkovo 1942 / Gauss-Kruger zone 6,Pulkovo / Gauss zone 6,28406,Belorus - east of 30 deg E                                                                                         Russia;   Ukraine  - 30 deg E to 36 deg E,02-Jun-95,4284,16206,Pulkovo 1942,Gauss-Kruger zone 6,,,,abbr req (34),22
Pulkovo 1942 / Gauss-Kruger zone 7,Pulkovo / Gauss zone 7,28407,Georgia - west of 36 deg E                                                                                        Russia  - 36 deg E to 42 deg E                                                                                     Ukraine - east of 36 deg E,02-Jun-95,4284,16207,Pulkovo 1942,Gauss-Kruger zone 7,,,,abbr req (34),22
Pulkovo 1942 / Gauss-Kruger zone 8,Pulkovo / Gauss zone 8,28408,Armenia          Azerbaijan - west of 48 deg E          Georgia - east of 42 deg E   Russia - 42 deg E to 48 deg E,02-Jun-95,4284,16208,Pulkovo 1942,Gauss-Kruger zone 8,,,,abbr req (34),22
Pulkovo 1942 / Gauss-Kruger zone 9,Pulkovo / Gauss zone 9,28409,Azerbaijan - east of 48 deg E                           Kazakhstan - west of 54 deg E    Russia - 48 deg E to 54 deg E                         Turkmenistan - west of 54 deg E,02-Jun-95,4284,16209,Pulkovo 1942,Gauss-Kruger zone 9,,,,abbr req (34),22
Pulkovo 1942 / Gauss-Kruger zone 10,Pulkovo / Gauss zone 10,28410,Kazakhstan;  Russia;  Turkmenistan  - 54 deg E to 60 deg E                     Uzbekistan - west of 60 deg E,02-Jun-95,4284,16210,Pulkovo 1942,Gauss-Kruger zone 10,,,,abbr req (35),23
Pulkovo 1942 / Gauss-Kruger zone 11,Pulkovo / Gauss zone 11,28411,Kazakhstan;  Russia;  Uzbekistan - 60 deg E to 66 deg E                             Turkmenistan - east of 60 deg E,02-Jun-95,4284,16211,Pulkovo 1942,Gauss-Kruger zone 11,,,,abbr req (35),23
Pulkovo 1942 / Gauss-Kruger zone 12,Pulkovo / Gauss zone 12,28412,Kazakhstan;  Russia - 66 deg E to 72 deg E                                                          Kirgistan;  Tadzhikstan - west of 72 deg E                                                          Uzbekistan - east of 66 deg E,02-Jun-95,4284,16212,Pulkovo 1942,Gauss-Kruger zone 12,,,,abbr req (35),23
Pulkovo 1942 / Gauss-Kruger zone 13,Pulkovo / Gauss zone 13,28413,Kazakhstan;  Kirgizstan;  Russia - 72 deg E to 78 deg E                              Tadzhikstan - east of 72 deg E,02-Jun-95,4284,16213,Pulkovo 1942,Gauss-Kruger zone 13,,,,abbr req (35),23
Pulkovo 1942 / Gauss-Kruger zone 14,Pulkovo / Gauss zone 14,28414,Kazakhstan;  Russia - 78 deg E to 84 deg E                                                           Kirgizstan - east of 78 deg E,02-Jun-95,4284,16214,Pulkovo 1942,Gauss-Kruger zone 14,,,,abbr req (35),23
Pulkovo 1942 / Gauss-Kruger zone 15,Pulkovo / Gauss zone 15,28415,Kazakhstan - east of 84 deg E                                                                                       Russia - 84 deg E to 90 deg E,02-Jun-95,4284,16215,Pulkovo 1942,Gauss-Kruger zone 15,,,,abbr req (35),23
Pulkovo 1942 / Gauss-Kruger zone 16,Pulkovo / Gauss zone 16,28416,Russia - 90 deg E to 96 deg E,02-Jun-95,4284,16216,Pulkovo 1942,Gauss-Kruger zone 16,,,,abbr req (35),23
Pulkovo 1942 / Gauss-Kruger zone 17,Pulkovo / Gauss zone 17,28417,Russia - 96 deg E to 102eg E,02-Jun-95,4284,16217,Pulkovo 1942,Gauss-Kruger zone 17,,,,abbr req (35),23
Pulkovo 1942 / Gauss-Kruger zone 18,Pulkovo / Gauss zone 18,28418,Russia - 102 deg E to 108 deg E,02-Jun-95,4284,16218,Pulkovo 1942,Gauss-Kruger zone 18,,,,abbr req (35),23
Pulkovo 1942 / Gauss-Kruger zone 19,Pulkovo / Gauss zone 19,28419,Russia - 108 deg E to 114 deg E,02-Jun-95,4284,16219,Pulkovo 1942,Gauss-Kruger zone 19,,,,abbr req (35),23
Pulkovo 1942 / Gauss-Kruger zone 20,Pulkovo / Gauss zone 20,28420,Russia - 114 deg E to 120 deg E,02-Jun-95,4284,16220,Pulkovo 1942,Gauss-Kruger zone 20,,,,abbr req (35),23
Pulkovo 1942 / Gauss-Kruger zone 21,Pulkovo / Gauss zone 21,28421,Russia - 120 deg E to 126 deg E,02-Jun-95,4284,16221,Pulkovo 1942,Gauss-Kruger zone 21,,,,abbr req (35),23
Pulkovo 1942 / Gauss-Kruger zone 22,Pulkovo / Gauss zone 22,28422,Russia - 126 deg E to 132 deg E,02-Jun-95,4284,16222,Pulkovo 1942,Gauss-Kruger zone 22,,,,abbr req (35),23
Pulkovo 1942 / Gauss-Kruger zone 23,Pulkovo / Gauss zone 23,28423,Russia - 132 deg E to 138 deg E,02-Jun-95,4284,16223,Pulkovo 1942,Gauss-Kruger zone 23,,,,abbr req (35),23
Pulkovo 1942 / Gauss-Kruger zone 24,Pulkovo / Gauss zone 24,28424,Russia - 138 deg E to 144 deg E,02-Jun-95,4284,16224,Pulkovo 1942,Gauss-Kruger zone 24,,,,abbr req (35),23
Pulkovo 1942 / Gauss-Kruger zone 25,Pulkovo / Gauss zone 25,28425,Russia - 144 deg E to 150 deg E,02-Jun-95,4284,16225,Pulkovo 1942,Gauss-Kruger zone 25,,,,abbr req (35),23
Pulkovo 1942 / Gauss-Kruger zone 26,Pulkovo / Gauss zone 26,28426,Russia - 150 deg E to 156 deg E,02-Jun-95,4284,16226,Pulkovo 1942,Gauss-Kruger zone 26,,,,abbr req (35),23
Pulkovo 1942 / Gauss-Kruger zone 27,Pulkovo / Gauss zone 27,28427,Russia - 156 deg E to 162 deg E,02-Jun-95,4284,16227,Pulkovo 1942,Gauss-Kruger zone 27,,,,abbr req (35),23
Pulkovo 1942 / Gauss-Kruger zone 28,Pulkovo / Gauss zone 28,28428,Russia - 162 deg E to 168 deg E,02-Jun-95,4284,16228,Pulkovo 1942,Gauss-Kruger zone 28,,,,abbr req (35),23
Pulkovo 1942 / Gauss-Kruger zone 29,Pulkovo / Gauss zone 29,28429,Russia - 168 deg E to 174 deg E,02-Jun-95,4284,16229,Pulkovo 1942,Gauss-Kruger zone 29,,,,abbr req (35),23
Pulkovo 1942 / Gauss-Kruger zone 30,Pulkovo / Gauss zone 30,28430,Russia - 174 deg E to 180 deg,02-Jun-95,4284,16230,Pulkovo 1942,Gauss-Kruger zone 30,,,,abbr req (35),23
Pulkovo 1942 / Gauss-Kruger zone 31,Pulkovo / Gauss zone 31,28431,Russia - 180 deg to 174 deg W,02-Jun-95,4284,16231,Pulkovo 1942,Gauss-Kruger zone 31,,,,abbr req (35),23
Pulkovo 1942 / Gauss-Kruger zone 32,Pulkovo / Gauss zone 32,28432,Russia - east of 174 deg W,02-Jun-95,4284,16232,Pulkovo 1942,Gauss-Kruger zone 32,,,,abbr req (35),23
Pulkovo 1942 / Gauss-Kruger 4N,Pulkovo / Gauss 4N,28464,Latvia;  Lithuania;  Russia;   Ukraine;   - west of 24 deg E,02-Jun-95,4284,16304,Pulkovo 1942,Gauss-Kruger 4N,,,,abbr req (30),18
Pulkovo 1942 / Gauss-Kruger 5N,Pulkovo / Gauss 5N,28465,Belorus - west of 30 deg E;             Latvia; Lithuania; - east of 24 deg E                                                                                 Estonia;  Moldavia                          Russia;  Ukraine; - 24 deg E to 30 deg E,02-Jun-95,4284,16305,Pulkovo 1942,Gauss-Kruger 5N,,,,abbr req (30),18
Pulkovo 1942 / Gauss-Kruger 6N,Pulkovo / Gauss 6N,28466,Belorus - east of 30 deg E                                                                                         Russia;   Ukraine  - 30 deg E to 36 deg E,02-Jun-95,4284,16306,Pulkovo 1942,Gauss-Kruger 6N,,,,abbr req (30),18
Pulkovo 1942 / Gauss-Kruger 7N,Pulkovo / Gauss 7N,28467,Georgia - west of 36 deg E                                                                                        Russia  - 36 deg E to 42 deg E                                                                                     Ukraine - east of 36 deg E,02-Jun-95,4284,16307,Pulkovo 1942,Gauss-Kruger 7N,,,,abbr req (30),18
Pulkovo 1942 / Gauss-Kruger 8N,Pulkovo / Gauss 8N,28468,Armenia          Azerbaijan - west of 48 deg E          Georgia - east of 42 deg E   Russia - 42 deg E to 48 deg E,02-Jun-95,4284,16308,Pulkovo 1942,Gauss-Kruger 8N,,,,abbr req (30),18
Pulkovo 1942 / Gauss-Kruger 9N,Pulkovo / Gauss 9N,28469,Azerbaijan - east of 48 deg E                           Kazakhstan - west of 54 deg E    Russia - 48 deg E to 54 deg E                         Turkmenistan - west of 54 deg E,02-Jun-95,4284,16309,Pulkovo 1942,Gauss-Kruger 9N,,,,abbr req (30),18
Pulkovo 1942 / Gauss-Kruger 10N,Pulkovo / Gauss 10N,28470,Kazakhstan;  Russia;  Turkmenistan  - 54 deg E to 60 deg E                     Uzbekistan - west of 60 deg E,02-Jun-95,4284,16310,Pulkovo 1942,Gauss-Kruger 10N,,,,abbr req (31),19
Pulkovo 1942 / Gauss-Kruger 11N,Pulkovo / Gauss 11N,28471,Kazakhstan;  Russia;  Uzbekistan - 60 deg E to 66 deg E                             Turkmenistan - east of 60 deg E,02-Jun-95,4284,16311,Pulkovo 1942,Gauss-Kruger 11N,,,,abbr req (31),19
Pulkovo 1942 / Gauss-Kruger 12N,Pulkovo / Gauss 12N,28472,Kazakhstan;  Russia - 66 deg E to 72 deg E                                                          Kirgistan;  Tadzhikstan - west of 72 deg E                                                          Uzbekistan - east of 66 deg E,02-Jun-95,4284,16312,Pulkovo 1942,Gauss-Kruger 12N,,,,abbr req (31),19
Pulkovo 1942 / Gauss-Kruger 13N,Pulkovo / Gauss 13N,28473,Kazakhstan;  Kirgizstan;  Russia - 72 deg E to 78 deg E                              Tadzhikstan - east of 72 deg E,02-Jun-95,4284,16313,Pulkovo 1942,Gauss-Kruger 13N,,,,abbr req (31),19
Pulkovo 1942 / Gauss-Kruger 14N,Pulkovo / Gauss 14N,28474,Kazakhstan;  Russia - 78 deg E to 84 deg E                                                           Kirgizstan - east of 78 deg E,02-Jun-95,4284,16314,Pulkovo 1942,Gauss-Kruger 14N,,,,abbr req (31),19
Pulkovo 1942 / Gauss-Kruger 15N,Pulkovo / Gauss 15N,28475,Kazakhstan - east of 84 deg E                                                                                       Russia - 84 deg E to 90 deg E,02-Jun-95,4284,16315,Pulkovo 1942,Gauss-Kruger 15N,,,,abbr req (31),19
Pulkovo 1942 / Gauss-Kruger 16N,Pulkovo / Gauss 16N,28476,Russia - 90 deg E to 96 deg E,02-Jun-95,4284,16316,Pulkovo 1942,Gauss-Kruger 16N,,,,abbr req (31),19
Pulkovo 1942 / Gauss-Kruger 17N,Pulkovo / Gauss 17N,28477,Russia - 96 deg E to 102eg E,02-Jun-95,4284,16317,Pulkovo 1942,Gauss-Kruger 17N,,,,abbr req (31),19
Pulkovo 1942 / Gauss-Kruger 18N,Pulkovo / Gauss 18N,28478,Russia - 102 deg E to 108 deg E,02-Jun-95,4284,16318,Pulkovo 1942,Gauss-Kruger 18N,,,,abbr req (31),19
Pulkovo 1942 / Gauss-Kruger 19N,Pulkovo / Gauss 19N,28479,Russia - 108 deg E to 114 deg E,02-Jun-95,4284,16319,Pulkovo 1942,Gauss-Kruger 19N,,,,abbr req (31),19
Pulkovo 1942 / Gauss-Kruger 20N,Pulkovo / Gauss 20N,28480,Russia - 114 deg E to 120 deg E,02-Jun-95,4284,16320,Pulkovo 1942,Gauss-Kruger 20N,,,,abbr req (31),19
Pulkovo 1942 / Gauss-Kruger 21N,Pulkovo / Gauss 21N,28481,Russia - 120 deg E to 126 deg E,02-Jun-95,4284,16321,Pulkovo 1942,Gauss-Kruger 21N,,,,abbr req (31),19
Pulkovo 1942 / Gauss-Kruger 22N,Pulkovo / Gauss 22N,28482,Russia - 126 deg E to 132 deg E,02-Jun-95,4284,16322,Pulkovo 1942,Gauss-Kruger 22N,,,,abbr req (31),19
Pulkovo 1942 / Gauss-Kruger 23N,Pulkovo / Gauss 23N,28483,Russia - 132 deg E to 138 deg E,02-Jun-95,4284,16323,Pulkovo 1942,Gauss-Kruger 23N,,,,abbr req (31),19
Pulkovo 1942 / Gauss-Kruger 24N,Pulkovo / Gauss 24N,28484,Russia - 138 deg E to 144 deg E,02-Jun-95,4284,16324,Pulkovo 1942,Gauss-Kruger 24N,,,,abbr req (31),19
Pulkovo 1942 / Gauss-Kruger 25N,Pulkovo / Gauss 25N,28485,Russia - 144 deg E to 150 deg E,02-Jun-95,4284,16325,Pulkovo 1942,Gauss-Kruger 25N,,,,abbr req (31),19
Pulkovo 1942 / Gauss-Kruger 26N,Pulkovo / Gauss 26N,28486,Russia - 150 deg E to 156 deg E,02-Jun-95,4284,16326,Pulkovo 1942,Gauss-Kruger 26N,,,,abbr req (31),19
Pulkovo 1942 / Gauss-Kruger 27N,Pulkovo / Gauss 27N,28487,Russia - 156 deg E to 162 deg E,02-Jun-95,4284,16327,Pulkovo 1942,Gauss-Kruger 27N,,,,abbr req (31),19
Pulkovo 1942 / Gauss-Kruger 28N,Pulkovo / Gauss 28N,28488,Russia - 162 deg E to 168 deg E,02-Jun-95,4284,16328,Pulkovo 1942,Gauss-Kruger 28N,,,,abbr req (31),19
Pulkovo 1942 / Gauss-Kruger 29N,Pulkovo / Gauss 29N,28489,Russia - 168 deg E to 174 deg E,02-Jun-95,4284,16329,Pulkovo 1942,Gauss-Kruger 29N,,,,abbr req (31),19
Pulkovo 1942 / Gauss-Kruger 30N,Pulkovo / Gauss 30N,28490,Russia - 174 deg E to 180 deg,02-Jun-95,4284,16330,Pulkovo 1942,Gauss-Kruger 30N,,,,abbr req (31),19
Pulkovo 1942 / Gauss-Kruger 31N,Pulkovo / Gauss 31N,28491,Russia - 180 deg to 174 deg W,02-Jun-95,4284,16331,Pulkovo 1942,Gauss-Kruger 31N,,,,abbr req (31),19
Pulkovo 1942 / Gauss-Kruger 32N,Pulkovo / Gauss 32N,28492,Russia - east of 174 deg W,02-Jun-95,4284,16332,Pulkovo 1942,Gauss-Kruger 32N,,,,abbr req (31),19
Qatar / Qatar National Grid,Qatar National Grid,28600,Qatar - onshore,02-Jun-95,4286,19919,Qatar,Qatar National Grid,,,,abbr req (27),19
RD / Netherlands Old,,28991,Netherlands - onshore,02-Jun-95,4289,19913,Amersfoort,RD Old,,,,20,0
RD / Netherlands New,,28992,Netherlands - onshore,02-Jun-95,4289,19914,Amersfoort,RD New,,,,20,0
SAD69 / UTM zone 17S,,29177,South America - 84deg West to 78deg West; southern hemisphere,02-Jun-95,4291,16117,SAD69,UTM zone 17S,,,,20,0
SAD69 / UTM zone 18N,,29118,South America - 78deg West to 72deg West; northern hemisphere,02-Jun-95,4291,16018,SAD69,UTM zone 18N,,,,20,0
SAD69 / UTM zone 18S,,29178,South America - 78deg West to 72deg West; southern hemisphere,02-Jun-95,4291,16118,SAD69,UTM zone 18S,,,,20,0
SAD69 / UTM zone 19N,,29119,South America - 72deg West to 66deg West; northern hemisphere,02-Jun-95,4291,16019,SAD69,UTM zone 19N,,,,20,0
SAD69 / UTM zone 19S,,29179,South America - 72deg West to 66deg West; southern hemisphere,02-Jun-95,4291,16119,SAD69,UTM zone 19S,,,,20,0
SAD69 / UTM zone 20N,,29120,South America - 66deg West to 60deg West; northern hemisphere,02-Jun-95,4291,16020,SAD69,UTM zone 20N,,,,20,0
SAD69 / UTM zone 20S,,29180,South America - 66deg West to 60deg West; southern hemisphere,02-Jun-95,4291,16120,SAD69,UTM zone 20S,,,,20,0
SAD69 / UTM zone 21N,,29121,South America - 60deg West to 54deg West; northern hemisphere,02-Jun-95,4291,16021,SAD69,UTM zone 21N,,,,20,0
SAD69 / UTM zone 21S,,29181,South America - 60deg West to 54deg West; southern hemisphere,02-Jun-95,4291,16121,SAD69,UTM zone 21S,,,,20,0
SAD69 / UTM zone 22N,,29122,South America - 54deg West to 48deg West; northern hemisphere,02-Jun-95,4291,16022,SAD69,UTM zone 22N,,,,20,0
SAD69 / UTM zone 22S,,29182,South America - 54deg West to 48deg West; southern hemisphere,02-Jun-95,4291,16122,SAD69,UTM zone 22S,,,,20,0
SAD69 / UTM zone 23S,,29183,South America - 48deg West to 42deg West,02-Jun-95,4291,16123,SAD69,UTM zone 23S,,,,20,0
SAD69 / UTM zone 24S,,29184,South America - 42deg West to 36deg West,02-Jun-95,4291,16124,SAD69,UTM zone 24S,,,,20,0
SAD69 / UTM zone 25S,,29185,South America - 36deg West to 30deg West,02-Jun-95,4291,16125,SAD69,UTM zone 25S,,,,20,0
Sapper Hill 1943 / UTM zone 20S,Sapper Hill / UTM 20S,29220,Falkland Islands - west of 60 deg W.,02-Jun-95,4292,16120,Sapper Hill 1943,UTM zone 20S,,,,abbr req (31),21
Sapper Hill 1943 / UTM zone 21S,Sapper Hill / UTM 21S,29221,Falkland Islands - east of 60 deg W.,02-Jun-95,4292,16121,Sapper Hill 1943,UTM zone 21S,,,,abbr req (31),21
Schwarzeck / UTM zone 33S,Schwarzeck / UTM 33S,29333,Namibia,02-Jun-95,4293,16133,Schwarzeck,UTM zone 33S,,,,abbr req (25),20
Sudan / UTM zone 35N,,29635,Sudan - south - west of 30 deg E.,02-Jun-95,4296,16035,Sudan,UTM zone 35N,,,,20,0
Sudan / UTM zone 36N,,29636,Sudan - south - east of 30 deg E.,02-Jun-95,4296,16036,Sudan,UTM zone 36N,,,,20,0
Tananarive (Paris) / Laborde Grid,Tananarive  / Laborde,29700,Madagascar,02-Jun-95,4810,19911,Tananarive (Paris),Laborde Grid,,,,abbr req (33),21
Tananarive / UTM zone 38S,Tananarive / UTM 38S,29738,Madagascar - offshore west of 48 deg E,02-Jun-95,4297,16138,Tananarive,UTM zone 38S,,,,abbr req (25),20
Tananarive / UTM zone 39S,Tananarive / UTM 39S,29739,Madagascar - offshore east of 48 deg E,02-Jun-95,4297,16139,Tananarive,UTM zone 39S,,,,abbr req (25),20
TC(1948) / UTM zone 39N,,30339,United Arab Emirates west of 54 deg E,02-Jun-95,4303,16039,TC(1948),UTM zone 39N,,,,23,0
TC(1948) / UTM zone 40N,,30340,United Arab Emirates east of 54 deg E,02-Jun-95,4303,16040,TC(1948),UTM zone 40N,,,,23,0
Timbalai 1948 / R.S.O. Borneo,Timbalai 1948 / Borneo,29800,Malaysia - East Malaysia (Sabah; Sarawak);                                                 Brunei,02-Jun-95,4298,19912,Timbalai 1948,Rectified Skew Orthomorphic Borneo Grid,R.S.O. Borneo,,,abbr req (29),22
Timbalai 1948 / UTM zone 49N,Timbalai 1948 / UTM 49N,29849,Malaysia - East Malaysia (Sabah; Sarawak) offshore west of 114 deg E           Brunei - offshore ,02-Jun-95,4298,16049,Timbalai 1948,UTM zone 49N,,,,abbr req (28),23
Timbalai 1948 / UTM zone 50N,Timbalai 1948 / UTM 50N,29850,Malaysia - East Malaysia (Sabah; Sarawak) offshore east of 114 deg E          Brunei - offshore ,02-Jun-95,4298,16050,Timbalai 1948,UTM zone 50N,,,,abbr req (28),23
TM65 / Irish National Grid,TM65 / Irish Nat Grid,29900,Ireland - onshore                                                                                                                          United Kingdom - Northern Ireland onshore,02-Jun-95,4299,19908,TM65,Irish National Grid,,,,abbr req (26),21
Trinidad 1903 / Trinidad Grid,Trinidad 1903 / Trinidad,30200,Trinidad,02-Jun-95,4302,19925,Trinidad 1903,Trinidad Grid,,,,abbr req (29),24
Voirol 1875 / Nord Algerie (ancienne),Voirol /N Algerie ancien,30491,Algeria - north of 38.5 grads (34 deg 39 min) N,02-Jun-95,4304,18011,Voirol 1875,Nord Algerie (ancienne),,,Superceded by Voirol Unifie / Algeria Nord,abbr req (37),24
Voirol 1875 / Sud Algerie (ancienne),Voirol /S Algerie ancien,30492,Algeria - 35 grads to 38.5 grads (31 deg 30 min to 34 deg 39 min) N,02-Jun-95,4304,18012,Voirol 1875,Sud Algerie (ancienne),,,Superceded by Voirol Unifie / Algeria Nord,abbr req (36),24
Voirol Unifie / Nord Algerie,Voirol Unifie /N Algerie,30591,Algeria - north of 38.5 grads (34 deg 39 min) N,02-Jun-95,4305,18021,Voirol Unifie,Nord Algerie,,,,abbr req (28),24
Voirol Unifie / Sud Algerie,Voirol Unifie /S Algerie,30592,Algeria - 35 grads to 38.5 grads (31 deg 30 min to 34 deg 39 min) N,02-Jun-95,4305,18022,Voirol Unifie,Sud Algerie,,,,abbr req (27),24
WGS 72 / UTM zone 1N,,32201,180deg to 174deg West; northern hemisphere,02-Jun-95,4322,16001,WGS 72,UTM zone 1N,,,,20,0
WGS 72 / UTM zone 2N,,32202,174deg West to 168deg West; northern hemisphere,02-Jun-95,4322,16002,WGS 72,UTM zone 2N,,,,20,0
WGS 72 / UTM zone 3N,,32203,168deg West to 162deg West; northern hemisphere,02-Jun-95,4322,16003,WGS 72,UTM zone 3N,,,,20,0
WGS 72 / UTM zone 4N,,32204,162deg West to 156deg West; northern hemisphere,02-Jun-95,4322,16004,WGS 72,UTM zone 4N,,,,20,0
WGS 72 / UTM zone 5N,,32205,156deg West to 150deg West; northern hemisphere,02-Jun-95,4322,16005,WGS 72,UTM zone 5N,,,,20,0
WGS 72 / UTM zone 6N,,32206,150deg West to 144deg West; northern hemisphere,02-Jun-95,4322,16006,WGS 72,UTM zone 6N,,,,20,0
WGS 72 / UTM zone 7N,,32207,144deg West to 138deg West; northern hemisphere,02-Jun-95,4322,16007,WGS 72,UTM zone 7N,,,,20,0
WGS 72 / UTM zone 8N,,32208,138deg West to 132deg West; northern hemisphere,02-Jun-95,4322,16008,WGS 72,UTM zone 8N,,,,20,0
