"COORD_OP_METHOD_CODE","COORD_OP_METHOD_NAME","REVERSE_OP","FORMULA","EXAMPLE","REMARKS","INFORMATION_SOURCE","DATA_SOURCE","REVISION_DATE","CHANGE_ID","DEPRECATED"
9648,General polynomial of degree 6,0,"The simplest of all polynomials is the general polynomial function. In order to avoid problems of numerical instability this type of polynomial should be used after reducing the coordinate values in both the source and the target coordinate reference system to ‘manageable’ numbers, between –10 and +10 at most.  This is achieved by working with offsets relative to a central evaluation point, scaled to the desired number range by applying a scaling factor to the coordinate offsets.

Hence an evaluation point is chosen in the source coordinate reference system (XS0, YS0) and in the target coordinate reference system (XT0, YT0).  Often these two sets of coordinates do not refer to the same physical point but two points are chosen that have the same coordinate values in both the source and the target coordinate reference system.  (When the two points have identical coordinates, these parameters are conveniently eliminated from the formulas, but the general case where the coordinates differ is given here).

The selection of an evaluation point in each of the two coordinate reference systems allows the point coordinates in both to be reduced as follows:
XS - XS0 
YS - YS0
and
XT – XT0 
YT – YT0
These coordinate differences are expressed in their own unit of measure, which may not be the same as that of the corresponding coordinate reference system. )

A further reduction step is usually necessary to bring these coordinate differences into the desired numerical range by applying a scaling factor to the coordinate differences in order to reduce them to a value range that may be applied to the polynomial formulae below without introducing numerical precision errors:

U = mS.(XS - XS0) 
V = mS.(YS - YS0)

where 
XS , YS  are coordinates in the source coordinate reference system,
XS0 , YS0 are coordinates of the evaluation point in the source coordinate reference system,
mS is the scaling factor applied the coordinate differences in the source coordinate reference system.

The normalised coordinates U and V of the point whose coordinates are to be transformed are used as input to the polynomial transformation formula. In order to control the numerical range of the polynomial coefficients An and Bn the output coordinate differences dX and dY are multiplied by a scaling factor, mT.

mT.dX = A0 + A1.U + A2.V + A3.U^2 + A4.U.V + A5.V^2 + A6.U^3 + A7.U^2.V + A8.U.V^2 + A9.V^3
            + A10.U^4 + A11.U^3.V + A12.U^2.V^2 + A13.U.V^3 + A14.V^4
            + A15.U^5 + A16.U^4.V + A17.U^3.V^2 + A18.U^2.V^3 + A19.U.V^4 + A20.V^5
            + A21.U^6 + A22.U^5.V + A23.U^4.V^2 + A24.U^3.V^3 + A25.U^2.V^4 + A26.U.V^5 + A27.V^6

mT.dY = B0 + B1.U + B2.V + B3.U^2 + B4.U.V + B5.V^2 + B6.U^3 + B7.U^2.V + B8.U.V^2 + B9.V^3
            + B10.U^4 + B11.U^3.V + B12.U^2.V^2 + B13.U.V^3 + B14.V^4
            + B15.U^5 + B16.U^4.V + B17.U^3.V^2 + B18.U^2.V^3 + B19.U.V^4 + B20.V^5
            + B21.U^6 + B22.U^5.V + B23.U^4.V^2 + B24.U^3.V^3 + B25.U^2.V^4 + B26.U.V^5 + B27.V^6

from which dX and dY are evaluated. These will be in the units of the target coordinate reference system.

The polynomial coefficients are given as parameters of the form Aumvn and Bumvn, where m is the power to which U is raised and n is the power to which V is raised. For example, A17 is represented as coordinate operation parameter Au3v2.

The relationship between the two coordinate reference systems can now be written as follows:

	(XT - XT0) = (XS – XS0) + dX 
(YT - YT0) = (YS – YS0) + dY 
or
	XT = XS – XS0  + XT0 + dX 
YT = YS – YS0 + YT0 + dY 

where:
XT , YT  are coordinates in the target coordinate reference system,
XS , YS  are coordinates in the source coordinate reference system,
XS0 , YS0 are coordinates of the evaluation point in the source coordinate reference system,
XT0 , YT0  are coordinates of the evaluation point in the target coordinate reference system,
dX, dY   are derived through the scaled polynomial formulas.",,,EPSG guidance note #7.,EPSG,2002-12-21 00:00:00,,0
9649,Reversible polynomial of degree 2,1,"See method code 9645 for description of general polynomial formula.

A general polynomial transformation is reversible only when the following conditions are met.
1. The co-ordinates of source and target evaluation point are (numerically) the same.
2. The unit of measure of the coordinate differences in source and target coordinate reference system are the same.
3. The scaling factors applied to source and target coordinate differences are the same.
4. The spatial variation of the differences between the coordinate reference systems around any given location is sufficiently small.

Clarification on conditions for polynomial reversibility:
Regarding 1 and 2 - 	In the reverse transformation the roles of the source and target coordinate reference systems are reversed.  Consequently, the co-ordinates of the evaluation point in the source coordinate reference system become those in the target coordinate reference system in the reverse transformation. Usage of the same transformation parameters for the reverse transformation will therefore only be valid if the evaluation point coordinates are numerically the same in source and target coordinate reference system and in the same units.  That is, XS0 = XT0 = X0 and YS0 = YT0 = Y0.
Re 3 - The same holds for the scaling factors of the source and target coordinate differences and for the units of measure of the coordinate differences. That is, mS = mT = m.
Re 4 - 	If conditions 1, 2 and 3 are all satisfied it then may be possible to use the forward polynomial algorithm with the forward parameters for the reverse transformation. This is the case if the spatial variations in dX and dY around any given location are sufficiently constant.  The signs of the polynomial coefficients are then reversed but the scaling factor and the evaluation point coordinates retain their signs. If these spatial variations in dX and dY are too large, for the reverse transformation iteration would be necessary.   It is therefore not the algorithm that determines whether a single step solution is sufficient or whether iteration is required, but the desired accuracy combined with the degree of spatial variability of dX and dY.

An example of a reversible polynomial is transformation is ED50 to ED87 (1) for the North Sea.  The suitability of this transformation to be described by a reversible polynomial can easily be explained. In the first place both source and target coordinate reference systems are of type geographic 2D. The typical difference in coordinate values between ED50 and ED87 is in the order of 2 metres (approximately 10E-6 degrees) in the area of application. The polynomial functions are evaluated about central points with coordinates of 55 deg N, 0 deg E in both coordinate reference systems. The reduced coordinate differences (in degrees) are used as input parameters to the polynomial functions. The output coordinate differences are corrections to the input coordinate offsets of about 10E-6 degrees. This difference of several orders of magnitude between input and output values is the property that makes a polynomial function reversible in practice (although not in a formal mathematical sense).

The error made by the polynomial approximation formulas in calculating the reverse correction is of the same order of magnitude as the ratio of output versus input:
(output error / input error) = (	output valu/ input value) which is approximately 10E-6

As long as the input values (the coordinate offsets from the evaluation point) are orders of magnitude larger than the output (the corrections), and provided the coefficients are used with changed signs, the polynomial transformation may be considered to be reversible.",,Reversibility is subject to constraints.  See Guidance Note 7 for conditions and clarification.,EPSG guidance note #7.,EPSG,2002-12-21 00:00:00,,0
9650,Reversible polynomial of degree 3,1,"See method code 9646 for description of general polynomial formula.

A general polynomial transformation is reversible only when the following conditions are met.
1. The co-ordinates of source and target evaluation point are (numerically) the same.
2. The unit of measure of the coordinate differences in source and target coordinate reference system are the same.
3. The scaling factors applied to source and target coordinate differences are the same.
4. The spatial variation of the differences between the coordinate reference systems around any given location is sufficiently small.

Clarification on conditions for polynomial reversibility:
Regarding 1 and 2 - 	In the reverse transformation the roles of the source and target coordinate reference systems are reversed.  Consequently, the co-ordinates of the evaluation point in the source coordinate reference system become those in the target coordinate reference system in the reverse transformation. Usage of the same transformation parameters for the reverse transformation will therefore only be valid if the evaluation point coordinates are numerically the same in source and target coordinate reference system and in the same units.  That is, XS0 = XT0 = X0 and YS0 = YT0 = Y0.
Re 3 - The same holds for the scaling factors of the source and target coordinate differences and for the units of measure of the coordinate differences. That is, mS = mT = m.
Re 4 - 	If conditions 1, 2 and 3 are all satisfied it then may be possible to use the forward polynomial algorithm with the forward parameters for the reverse transformation. This is the case if the spatial variations in dX and dY around any given location are sufficiently constant.  The signs of the polynomial coefficients are then reversed but the scaling factor and the evaluation point coordinates retain their signs. If these spatial variations in dX and dY are too large, for the reverse transformation iteration would be necessary.   It is therefore not the algorithm that determines whether a single step solution is sufficient or whether iteration is required, but the desired accuracy combined with the degree of spatial variability of dX and dY.

An example of a reversible polynomial is transformation is ED50 to ED87 (1) for the North Sea.  The suitability of this transformation to be described by a reversible polynomial can easily be explained. In the first place both source and target coordinate reference systems are of type geographic 2D. The typical difference in coordinate values between ED50 and ED87 is in the order of 2 metres (approximately 10E-6 degrees) in the area of application. The polynomial functions are evaluated about central points with coordinates of 55 deg N, 0 deg E in both coordinate reference systems. The reduced coordinate differences (in degrees) are used as input parameters to the polynomial functions. The output coordinate differences are corrections to the input coordinate offsets of about 10E-6 degrees. This difference of several orders of magnitude between input and output values is the property that makes a polynomial function reversible in practice (although not in a formal mathematical sense).

The error made by the polynomial approximation formulas in calculating the reverse correction is of the same order of magnitude as the ratio of output versus input:
(output error / input error) = (	output valu/ input value) which is approximately 10E-6

As long as the input values (the coordinate offsets from the evaluation point) are orders of magnitude larger than the output (the corrections), and provided the coefficients are used with changed signs, the polynomial transformation may be considered to be reversible.",,Reversibility is subject to constraints.  See Guidance Note 7 for conditions and clarification.,EPSG guidance note #7.,EPSG,2002-12-21 00:00:00,,0
9651,Reversible polynomial of degree 4,1,"See method code 9647 for description of general polynomial formula.

A general polynomial transformation is reversible only when the following conditions are met.
1. The co-ordinates of source and target evaluation point are (numerically) the same.
2. The unit of measure of the coordinate differences in source and target coordinate reference system are the same.
3. The scaling factors applied to source and target coordinate differences are the same.
4. The spatial variation of the differences between the coordinate reference systems around any given location is sufficiently small.

Clarification on conditions for polynomial reversibility:
Regarding 1 and 2 - 	In the reverse transformation the roles of the source and target coordinate reference systems are reversed.  Consequently, the co-ordinates of the evaluation point in the source coordinate reference system become those in the target coordinate reference system in the reverse transformation. Usage of the same transformation parameters for the reverse transformation will therefore only be valid if the evaluation point coordinates are numerically the same in source and target coordinate reference system and in the same units.  That is, XS0 = XT0 = X0 and YS0 = YT0 = Y0.
Re 3 - The same holds for the scaling factors of the source and target coordinate differences and for the units of measure of the coordinate differences. That is, mS = mT = m.
Re 4 - 	If conditions 1, 2 and 3 are all satisfied it then may be possible to use the forward polynomial algorithm with the forward parameters for the reverse transformation. This is the case if the spatial variations in dX and dY around any given location are sufficiently constant.  The signs of the polynomial coefficients are then reversed but the scaling factor and the evaluation point coordinates retain their signs. If these spatial variations in dX and dY are too large, for the reverse transformation iteration would be necessary.   It is therefore not the algorithm that determines whether a single step solution is sufficient or whether iteration is required, but the desired accuracy combined with the degree of spatial variability of dX and dY.

An example of a reversible polynomial is transformation is ED50 to ED87 (1) for the North Sea.  The suitability of this transformation to be described by a reversible polynomial can easily be explained. In the first place both source and target coordinate reference systems are of type geographic 2D. The typical difference in coordinate values between ED50 and ED87 is in the order of 2 metres (approximately 10E-6 degrees) in the area of application. The polynomial functions are evaluated about central points with coordinates of 55 deg N, 0 deg E in both coordinate reference systems. The reduced coordinate differences (in degrees) are used as input parameters to the polynomial functions. The output coordinate differences are corrections to the input coordinate offsets of about 10E-6 degrees. This difference of several orders of magnitude between input and output values is the property that makes a polynomial function reversible in practice (although not in a formal mathematical sense).

The error made by the polynomial approximation formulas in calculating the reverse correction is of the same order of magnitude as the ratio of output versus input:
(output error / input error) = (	output valu/ input value) which is approximately 10E-6

As long as the input values (the coordinate offsets from the evaluation point) are orders of magnitude larger than the output (the corrections), and provided the coefficients are used with changed signs, the polynomial transformation may be considered to be reversible.","For geodetic transformation ED50 to ED87 (1)

Offset unit:  degree
Ordinate 1 of evaluation point X0  =   55° 00' 00.000""N  = +55 degrees
Ordinate 2 of evaluation point Y0  =     0° 00' 00.000""E   =   +0 degrees

Parameters:
A0 = -5.56098E-06   A1 = -1.55391E-06   ...   A14 = -4.01383E-09
B0 = +1.48944E-05   B2 = +2.68191E-05  ...   B14 = +7.62236E-09

Forward calculation for: 
ED50 Latitude     = Xs =52* 30’30""N   =     +52.508333333 degrees
ED50 Longitude  = Ys =  2*E=      +2.0 degrees   

U = XS - X0 =  * ED50 - X0  = 52.508333333 - 55.0 = -2.491666667 degrees
V = YS - Y0 =  * ED50 - Y0   = 2.0 - 0.0 = 2.0 degrees

dX = A0 + A1.U + ... + A14.V4
      = -5.56098E-06 + (-1.55391E-06 * -2.491666667) + ... + (-4.01383E-09 * 2.0^4)
      = -3.12958E-06 degrees

dY = B0 + B1.U + ... + B14.V4
      = +1.48944E-05 + (2.68191E-05 * -2.491666667) + ... + (7.62236E-09 * 2.0^4)
      = +9.80126E-06 degrees

Then  ED87 Latitude  =   XT = XS + dX
                                  =  52.508333333 - 3.12958E-06   degrees
                                  = 52* 30’ 29.9887"" N

ED87 Longitude  =   YT = YS + dY
                           = 2* 00’ 00.0353"" E


Reverse calculation for transformation ED50 to ED87 (1).
The transformation method for the ED50 to ED87 (1) transformation, 4th-order reversible polynomial, is reversible. The same formulas may be applied for the reverse calculation, but coefficients A0 through A14 and B0 through B14 are applied with reversal of their signs. Sign reversal is not applied to the coordinates of the evaluation point. Thus:
Ordinate 1 of evaluation point X0  =   55° 00' 00.000""N  = +55 degrees
Ordinate 2 of evaluation point Y0  =     0° 00' 00.000""E   =   +0 degrees
A0  = +5.56098E-06   A1 = +1.55391E-06   ...   A14 = +4.01383E-09
B0  = -1.48944E-05    B1 = -2.68191E-05    ...   B14 = -7.62236E-09

Reverse calculation for: 
ED87 Latitude     = XS = 52° 30’29.9887""N   =     +52.5083301944 degrees
ED87 Longitude  = YS =   2° 00’ 00.0353"" E   =     +2.0000098055 degrees   

U = 52.5083301944 - 55.0 = -2.4916698056 degrees
V = 2.0000098055 - 0.0 = 2.0000098055 degrees

dX = A0 + A1.U + ... + A14.V4
      = +5.56098E-06 + (1.55391E-06 * -2.491666667) + ... + (4.01383E-09 * 2.0000098055^4)
      = +3.12957E-06 degrees

dY = B0 + B1.U + ... + B14.V4
      = -1.48944E-05 + (-2.68191E-05 * -2.491666667) + ... + (-7.62236E-09 * 2.0000098055^4)
      = -9.80124E-06 degrees

Then ED50 Latitude  =   XT = XS + dX
                                 = 52.5083301944 + 3.12957E-06   degrees
                                 = 52° 30’ 30.000"" N

ED50 Longitude  =   YT = YS + dY
                           = 2° 00’ 00.000"" E",Reversibility is subject to constraints.  See Guidance Note 7 for conditions and clarification.,EPSG guidance note #7.,EPSG,2002-12-21 00:00:00,,0
9652,Complex polynomial of degree 3,0,"The relationship between two projected coordinate reference systems may be approximated more elegantly by a single polynomial regression formula written in terms of complex numbers. The advantage is that the dependence between the ‘A’ and ‘B’ coefficients (for U and V) is taken into account in the formula, resulting in fewer coefficients for the same order polynomial. A third-order polynomial in complex numbers is used in Belgium.

mT.(dX + i. dY) = (A1 + i. A2).(U + i.V) + (A3 + i. A4).(U + i.V)^2 + (A5 + i. A6).(U + i.V)^3 

where U = mS.(XS - XS0)
           V = mS.(YS - YS0)
and mS, mT are the scaling factors for the coordinate differences in the source and target coordinate reference systems.

The polynomial to degree 4 can alternatively be expressed in matrix form.

Then
XT  = XS - XS0 + XT0 + dX
YT  = YS - YS0 + YT0 + dY

where
XT , YT      are coordinates in the target coordinate reference system,
XS , YS      are coordinates in the source coordinate reference system,
XS0 , YS0   are coordinates of the evaluation point in the source coordinate reference system,
XT0 , YT0   are coordinates of the evaluation point in the target coordinate reference system.

Note that the zero order coefficients of the general polynomial, A0 and B0, have apparently disappeared.  In reality they are absorbed by the different coordinates of the source and of the target evaluation point, which in this case, are numerically very different because of the use of two different projected coordinate reference systems for source and target.

The transformation parameter values (the coefficients) are not reversible.  For the reverse transformation a different set of parameter values are required, used within the same formulas as the forward direction.","For transformation Belge Lambert 72 to ED50 / UTM zone 31N,

Eo1 = 0
No1 = 0
Eo2 = 449681.702
No2 = 5460505.326
A1 = -71.3747
A2 = 1858.8407
A3 = -5.4504
A4 = -16.9681
A5 = 4.0783
A6 = 0.2193

For source coordinate system E1=200000  N1=100000, then
E2 = 647737.377  N2 = 5564124.227.",Coordinate pairs treated as complex numbers.  This exploits the correlation between the polynomial coefficients and leads to a smaller number of coefficients than the general polynomial of degree 3.,EPSG guidance note #7.,EPSG,2002-12-21 00:00:00,,0
9653,Complex polynomial of degree 4,0,"The relationship between two projected coordinate reference systems may be approximated more elegantly by a single polynomial regression formula written in terms of complex numbers. The advantage is that the dependence between the ‘A’ and ‘B’ coefficients (for U and V) is taken into account in the formula, resulting in fewer coefficients for the same order polynomial. A fourth-order polynomial in complex numbers is used in The Netherlands for transforming coordinates referenced to the Amersfoort / RD system to and from ED50 / UTM.

mT.(dX + i. dY) = (A1 + i. A2).(U + i.V) + (A3 + i. A4).(U + i.V)^2 + (A5 + i. A6).(U + i.V)^3 + (A7 + i.A8).(U + i.V)^4

where U = mS.(XS - XS0)
           V = mS.(YS - YS0)
and mS, mT are the scaling factors for the coordinate differences in the source and target coordinate reference systems.

The polynomial to degree 4 can alternatively be expressed in matrix form.

Then
XT  = XS - XS0 + XT0 + dX
YT  = YS - YS0 + YT0 + dY

where
XT , YT      are coordinates in the target coordinate reference system,
XS , YS      are coordinates in the source coordinate reference system,
XS0 , YS0   are coordinates of the evaluation point in the source coordinate reference system,
XT0 , YT0   are coordinates of the evaluation point in the target coordinate reference system.

Note that the zero order coefficients of the general polynomial, A0 and B0, have apparently disappeared.  In reality they are absorbed by the different coordinates of the source and of the target evaluation point, which in this case, are numerically very different because of the use of two different projected coordinate reference systems for source and target.

The transformation parameter values (the coefficients) are not reversible.  For the reverse transformation a different set of parameter values are required, used within the same formulas as the forward direction.","For transformation RD / Netherlands New to ED50 / UTM zone 31N,

Eo1 = 155000
No1 = 463000
Eo2 = 663395.607
No2 = 5781194.380
A1 = -51.681
A2 = 3290.525
A3 = 20.172
A4 = 1.133
A5 = 2.075
A6 = 0.251
A7 = 0.075
A8 = -0.012

For source coordinate system E1=200000  N1=500000, then
E2 =707155.557  N2 = 5819663.128.",Coordinate pairs treated as complex numbers.  This exploits the correlation between the polynomial coefficients and leads to a smaller number of coefficients than the general polynomial of degree 4.,EPSG guidance note #7.,EPSG,2002-12-21 00:00:00,,0
9654,Reversible polynomial of degree 13,1,"See method code 9648 for description of general polynomial formula.

A general polynomial transformation is reversible only when the following conditions are met.
1. The co-ordinates of source and target evaluation point are (numerically) the same.
2. The unit of measure of the coordinate differences in source and target coordinate reference system are the same.
3. The scaling factors applied to source and target coordinate differences are the same.
4. The spatial variation of the differences between the coordinate reference systems around any given location is sufficiently small.

Clarification on conditions for polynomial reversibility:
Regarding 1 and 2 - 	In the reverse transformation the roles of the source and target coordinate reference systems are reversed.  Consequently, the co-ordinates of the evaluation point in the source coordinate reference system become those in the target coordinate reference system in the reverse transformation. Usage of the same transformation parameters for the reverse transformation will therefore only be valid if the evaluation point coordinates are numerically the same in source and target coordinate reference system and in the same units.  That is, XS0 = XT0 = X0 and YS0 = YT0 = Y0.
Re 3 - The same holds for the scaling factors of the source and target coordinate differences and for the units of measure of the coordinate differences. That is, mS = mT = m.
Re 4 - 	If conditions 1, 2 and 3 are all satisfied it then may be possible to use the forward polynomial algorithm with the forward parameters for the reverse transformation. This is the case if the spatial variations in dX and dY around any given location are sufficiently constant.  The signs of the polynomial coefficients are then reversed but the scaling factor and the evaluation point coordinates retain their signs. If these spatial variations in dX and dY are too large, for the reverse transformation iteration would be necessary.   It is therefore not the algorithm that determines whether a single step solution is sufficient or whether iteration is required, but the desired accuracy combined with the degree of spatial variability of dX and dY.

An example of a reversible polynomial is transformation is ED50 to ED87 (1) for the North Sea.  The suitability of this transformation to be described by a reversible polynomial can easily be explained. In the first place both source and target coordinate reference systems are of type geographic 2D. The typical difference in coordinate values between ED50 and ED87 is in the order of 2 metres (approximately 10E-6 degrees) in the area of application. The polynomial functions are evaluated about central points with coordinates of 55 deg N, 0 deg E in both coordinate reference systems. The reduced coordinate differences (in degrees) are used as input parameters to the polynomial functions. The output coordinate differences are corrections to the input coordinate offsets of about 10E-6 degrees. This difference of several orders of magnitude between input and output values is the property that makes a polynomial function reversible in practice (although not in a formal mathematical sense).

The error made by the polynomial approximation formulas in calculating the reverse correction is of the same order of magnitude as the ratio of output versus input:
(output error / input error) = (	output valu/ input value) which is approximately 10E-6

As long as the input values (the coordinate offsets from the evaluation point) are orders of magnitude larger than the output (the corrections), and provided the coefficients are used with changed signs, the polynomial transformation may be considered to be reversible.",,,EPSG guidance note #7.,EPSG,2003-09-22 00:00:00,,0
9801,Lambert Conic Conformal (1SP),1,"To derive the projected Easting and Northing coordinates of a point with geographical coordinates (lat,lon) the formulas for the one standard parallel case are:

E = FE + r sin(theta)
N = FN + r0 - r cos(theta)
where
n = sin lat0
r = a F t^n k0     for r0, and r
m = cos(lat)/(1 - e^2 sin^2(lat))^0.5     for m0, lat0, and m2, lat2 where lat1 and lat2 are the latitudes of the standard parallels.
t  = tan(pi/4 - lat/2)/[(1 - e sin(lat))/(1 + e sin(lat))]^(e/2)   for t0 and t using lat0 and lat respectively.
F = m0/(n  t1^n)
theta = n(lon - lon0)

The reverse formulas to derive the latitude and longitude of a point from its Easting and Northing values are:

lat = pi/2 - 2arctan{t'[(1 - esin(lat))/(1 + esin(lat))]^(e/2)}
lon = theta'/n +lon0
where
theta' = arctan[(E - FE)/{r0 -(N - FN)}]
r' = +/-[(E - FE)^2 + {r0 - (N - FN)}^2]^0.5
t' = (r'/(a k0 F))^(1/n)
and n, F, and rF are derived as for the forward calculation.","For Projected Coordinate System JAD69 / Jamaica National Grid

Parameters:
Ellipsoid:  Clarke 1866, a = 6378206.400 m., 1/f = 294.97870
                                   then  e = 0.08227185 and e^2 = 0.00676866

Latitude Natural Origin         18°00'00""N  =  0.31415927 rad
Longitude Natural Origin     77°00'00""W = -1.34390352 rad
Scale factor at origin            1.000000
False Eastings  FE               250000.00 m
False Northings FN              150000.00 m

Forward calculation for: 
Latitude:     17°55'55.80""N  =  0.31297535 rad
Longitude:  76°56'37.26""W = -1.34292061 rad
first gives
m0    =  0.95136402        t0 =  0.72806411
F       =  3.39591092        n  =  0.30901699
r        =  19643955.26     r0  =  19636447.86
theta =  0.00030374        t   =  0.728965259

Then Easting E   =     255966.58 m
         Northing N =      142493.51 m

Reverse calculation for the same easting and northing first gives

theta' =  0.000303736
t'        =  0.728965259
m0     =  0.95136402
r'        =  19643955.26

Then Latitude     = 17°55'55.800""N
         Longitude  = 76°56'37.260""W",,EPSG guidance note #7.,EPSG,2001-06-05 00:00:00,2001.08,0
9802,Lambert Conic Conformal (2SP),1,"To derive the projected Easting and Northing coordinates of a point with geographical coordinates (lat,lon) the formulas for the one standard parallel case are:

E = EF + r sin(theta)
N = NF + rF - r cos(theta)
where
m = cos(lat)/(1 - e^2 sin^2(lat))^0.5     for m1, lat1, and m2, lat2 where lat1 and lat2 are the latitudes of the standard parallels.
t  = tan(pi/4 - lat/2)/[(1 - e sin(lat))/(1 + e sin(lat))]^(e/2)   for t1, t2, tF and t using lat1, lat2, latF and lat respectively.
n = (loge(m1) - loge(m2))/(loge(t1) - loge(t2))
F = m1/(n  t1^n)
r =  a F t^n         for rF and r, where rF is the radius of the parallel of latitude of the false origin.
theta = n(lon - lon0)

The reverse formulas to derive the latitude and longitude of a point from its Easting and Northing values are:

lat = pi/2 - 2arctan{t'[(1 - esin(lat))/(1 + esin(lat))]^(e/2)}
lon = theta'/n +lon0
where
r' = +/-[(E - EF)^2 + {rF - (N - NF)}^2]^0.5 , taking the sign of n
t' = (r'/(aF))^(1/n)
theta' = arctan [(E- EF)/(rF - (N- NF))]
and n, F, and rF are derived as for the forward calculation.","For Projected Coordinate System NAD27 / Texas South Central

Parameters:
Ellipsoid  Clarke 1866, a = 6378206.400 metres = 20925832.16 US survey feet
                                   1/f = 294.97870
then e = 0.08227185 and e^2 = 0.00676866

First Standard Parallel          28°23'00""N  =   0.49538262 rad
Second Standard Parallel    30°17'00""N  =   0.52854388 rad
Latitude False Origin            27°50'00""N  =   0.48578331 rad
Longitude False Origin         99°00'00""W = -1.72787596 rad
Easting at false origin           2000000.00  US survey feet
Northing at false origin          0.00  US survey feet

Forward calculation for: 
Latitude       28°30'00.00""N  =  0.49741884 rad
Longitude    96°00'00.00""W = -1.67551608 rad

first gives :
m1    = 0.88046050      m2 = 0.86428642
t        = 0.59686306      tF  = 0.60475101
t1      = 0.59823957      t2 = 0.57602212
n       = 0.48991263       F = 2.31154807
r        = 37565039.86    rF = 37807441.20
theta = 0.02565177

Then Easting E =      2963503.91 US survey feet
         Northing N =      254759.80 US survey feet

Reverse calculation for same easting and northing first gives:
theta' = 0.025651765     r' = 37565039.86
t'        = 0.59686306

Then Latitude     = 28°30'00.000""N
         Longitude   = 96°00'00.000""W",,EPSG guidance note #7.,EPSG,2001-06-05 00:00:00,99.281  2001.08,0
9803,Lambert Conic Conformal (2SP Belgium),1,"For the Lambert Conic Conformal (2 SP Belgium), the formulas for the regular two standard parallel case (coordinate operation method code 9802) are used except for: 

Easting, E = EF + r sin (theta - alpha)
Northing, N = NF + rF - r cos (theta - alpha)

and for the reverse formulas
lon = ((theta' + alpha)/n) +lon0
where alpha = 29.2985 seconds.","For Projected Coordinate System Belge 1972 / Belge Lambert 72

Parameters:
Ellipsoid  International 1924,  a = 6378388 metres
                                              1/f = 297
then e = 0.08199189 and e^2 = 0.006722670

First Standard Parallel        49°50'00""N       =   0.86975574 rad
Second Standard Parallel  51°10'00""N       =   0.89302680 rad
Latitude False Origin          90°00'00""N       =   1.57079633 rad
Longitude False Origin         4°21'24.983""E = 0.07604294 rad
Easting at false origin EF        150000.01  metres
Northing at false origin NF    5400088.44  metres

Forward calculation for: 
Latitude        50°40'46.461""N  =  0.88452540 rad
Longitude       5°48'26.533""E   = 0.10135773 rad

first gives :
m1     = 0.64628304         m2 = 0.62834001
t        = 0.59686306          tF  = 0.00000000
t1      = 0.36750382           t2 = 0.35433583
n       = 0.77164219            F = 1.81329763
r        = 37565039.86         rF = 0.00
alpha = 0.00014204     theta = 0.01953396

Then Easting E  =      251763.20 metres
         Northing N =      153034.13 metres

Reverse calculation for same easting and northing first gives:
theta' = 0.01939192      r' = 548041.03
t' = 0.35913403
Then Latitude   =    50°40'46.461""N
         Longitude =     5°48'26.533""E",In 2000 this modification was replaced through use of the regular Lambert Conic Conformal (2SP) method [9802] with appropriately modified parameter values.,EPSG guidance note #7.,EPSG,1999-04-22 00:00:00,99.281,0
9804,Mercator (1SP),1,"The formulas to derive projected Easting and Northing coordinates are:

E = FE + a*k0(lon - lon0)              
N = FN + a*k0* ln{tan(pi/4 + lat/2)[(1 - esin(lat))/(1 + esin(lat))]^e/2} where symbols are as listed above and logarithms are natural.

The reverse formulas to derive latitude and longitude from E and N values are:

lat = chi + (esq/2 + 5e^4/24 + e^6/12 + 13e^8/360) sin(2chi) 
+ (7e^4/48 + 29e^6/240 + 811e^8/11520) sin(4chi)
+ (7e^6/120 +  81e^8/1120) sin(6chi)  + (4279e^8/161280) sin(8chi)

where chi = pi/2 - 2 arctan t
t = B^((FN-N)/(a*k0)) 
B = base of the natural logarithm, 2.7182818...
and  for the 2 SP Case, k0 is calculated as for the forward transformation above.
lon  =  ((E - FE)/(a*k0))  + lon0","For Projected Coordinate System Makassar / NEIEZ

Parameters:
Ellipsoid   Bessel 1841  a = 6377397.155 m   1/f = 299.15281
then e = 0.08169683

Latitude Natural Origin         00°00'00""N  = 0.0000000 rad
Longitude Natural Origin    110°00'00""E  = 1.91986218 rad
Scale factor ko                  0.997
False Eastings FE              3900000.00 m
False Northings FN              900000.00 m

Forward calculation for: 
Latitude            3°00'00.00""S   = -0.05235988 rad
Longitude     120°00'00.00""E   =  2.09439510 rad
gives
Easting  E   =      5009726.58 m
Northing N  =        569150.82 m

Reverse calculation for same easting and northing first gives :
t    = 1.0534121
chi = -0.0520110

Then Latitude     =   3°00'00.000""S
         Longitude  = 120°00'00.000""E",,EPSG guidance note #7.,EPSG,2001-06-05 00:00:00,2001.08,0
